block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,physics/d1/ensemble/none,4,physics,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,36,53.926128145354504,24.0792837219686,0.08333333333333333,1.681401870536424,,True,4.7
ladder,physics/d1/ensemble/savgol,4,physics,1,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,42.78634722918804,5.497018544485429,0.0,3.083635136883421,,True,4.7
ladder,physics/d1/ensemble/kalman,4,physics,1,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,40.48781758434727,5.647951180128791,0.0,3.0854514808057076,,True,5.4
ladder,physics/d2/stlsq/none,4,physics,2,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,216,53.926128145354504,24.13437190298797,0.06666666666666667,0.9670214910049938,,False,37.0
ladder,physics/d2/stlsq/savgol,4,physics,2,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,20,42.78634722918804,5.453183202459823,0.0,3.0830587095138906,,False,36.1
ladder,physics/d2/stlsq/kalman,4,physics,2,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,40.48781758434727,5.674000981932252,0.0,3.0857418988240153,,False,36.4
ladder,physics/d2/sr3/none,4,physics,2,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,152,53.926128145354504,452.4770458354476,0.35,3.4276456777809363,,False,18.3
ladder,physics/d2/sr3/savgol,4,physics,2,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,42.78634722918804,5.422412447379883,0.0,3.082638809111367,,False,32.6
ladder,physics/d2/sr3/kalman,4,physics,2,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,40.48781758434727,6.4947959580146675,0.0,3.092743085638021,,False,32.5
ladder,physics/d2/constrained/none,4,physics,2,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,152,53.926128145354504,452.4770458354476,0.35,3.4276456777809363,,False,18.0
ladder,physics/d2/constrained/savgol,4,physics,2,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,42.78634722918804,5.422412447379883,0.0,3.082638809111367,,False,31.4
ladder,physics/d2/constrained/kalman,4,physics,2,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,40.48781758434727,6.4947959580146675,0.0,3.092743085638021,,False,31.2
ladder,physics/d2/ensemble/none,4,physics,2,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,212,53.926128145354504,114.17790765799404,0.25,6.413454228209514,,False,138.8
ladder,physics/d2/ensemble/savgol,4,physics,2,ensemble,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,10,42.78634722918804,5.35388293474724,0.0,3.081653431606732,,False,100.1
ladder,physics/d2/ensemble/kalman,4,physics,2,ensemble,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,40.48781758434727,5.704159794211288,0.0,3.0860706657576347,,False,98.1
ladder,physics_no_cross/d1/stlsq/none,4,physics_no_cross,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,28,24.720208861328157,8.61400397085896,0.016666666666666666,1.756494561419455,,True,3.5
ladder,physics_no_cross/d1/stlsq/savgol,4,physics_no_cross,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.545493009645403,5.453183202459823,0.0,3.0830587095138906,,True,3.4
ladder,physics_no_cross/d1/stlsq/kalman,4,physics_no_cross,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,3,14.631071610664822,5.674000981932252,0.0,3.0857418988240153,,True,4.0
ladder,physics_no_cross/d1/sr3/none,4,physics_no_cross,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,dcd5d8f,local,9,24.720208861328157,4.060070210882489,0.0,2.766693243478058,,True,3.4
